Index,LCSC#,MPN,Manufacturer,Package,,Description,,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
50,C144758,AC0402FR-07470KL,YAGEO,402,,470k? 62.5mW 50V Thick Film Resistor ±100ppm/? ±1% 0402 Chip Resistor - Surface Mount RoHS,,100,100,100,0.0024,0.24,https://www.lcsc.com/product-detail/C144758.html
51,C138008,RC0402FR-0730KL,YAGEO,402,,30k? 62.5mW 50V Thick Film Resistor ±100ppm/? ±1% 0402 Chip Resistor - Surface Mount RoHS,,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C138008.html
52,C93945,RC0402FR-07120KL,YAGEO,402,,62.5mW 120k? 50V Thick Film Resistor ±100ppm/? ±1% 0402 Chip Resistor - Surface Mount RoHS,,100,100,100,0.0014,0.14,https://www.lcsc.com/product-detail/C93945.html
53,C21376,0402WGJ0000TCE,UNI-ROYAL,402,,0? ±5% 62.5mW 0402 Thick Film Resistor,,100,100,100,0.0012,0.12,https://www.lcsc.com/product-detail/C21376.html
54,C25543,0402WGJ0102TCE,UNI-ROYAL,402,,1k? ±5% 62.5mW 0402 Thick Film Resistor,,100,100,100,0.0016,0.16,https://www.lcsc.com/product-detail/C25543.html
55,C163460,RC0402FR-07560RL,YAGEO,402,,62.5mW 560? 50V Thick Film Resistor ±100ppm/? ±1% 0402 Chip Resistor - Surface Mount RoHS,,100,100,100,0.0014,0.14,https://www.lcsc.com/product-detail/C163460.html
56,C43676,0402WGF3602TCE,UNI-ROYAL,402,,36k? ±1% 62.5mW 0402 Thick Film Resistor,,100,100,100,0.0014,0.14,https://www.lcsc.com/product-detail/C43676.html
57,C25752,0402WGF1202TCE,UNI-ROYAL,402,,12k? ±1% 62.5mW 0402 Thick Film Resistor,,100,100,100,0.0015,0.15,https://www.lcsc.com/product-detail/C25752.html
58,C25756,0402WGF1502TCE,UNI-ROYAL,402,,15k? ±1% 62.5mW 0402 Thick Film Resistor,,100,100,100,0.0051,0.51,https://www.lcsc.com/product-detail/C25756.html
59,C25879,0402WGF2201TCE,UNI-ROYAL,402,,2.2k? ±1% 62.5mW 0402 Thick Film Resistor,,100,100,100,0.0014,0.14,https://www.lcsc.com/product-detail/C25879.html
60,C93943,RC0402FR-0747KL,YAGEO,402,,62.5mW 47k? 50V Thick Film Resistor ±100ppm/? ±1% 0402 Chip Resistor - Surface Mount RoHS,,100,100,100,0.0056,0.56,https://www.lcsc.com/product-detail/C93943.html
61,C852856,RT0402BRD075K1L,YAGEO,402,,5.1k? 62.5mW 50V Thin Film Resistor ±25ppm/? ±0.1% 0402 Chip Resistor - Surface Mount RoHS,,50,50,50,0.0258,1.29,https://www.lcsc.com/product-detail/C852856.html
62,C723366,RT0402FRE0710KL,YAGEO,402,,62.5mW 10k? 50V Thin Film Resistor ±50ppm/? ±1% 0402 Chip Resistor - Surface Mount RoHS,,50,50,50,0.024,1.2,https://www.lcsc.com/product-detail/C723366.html
63,C25498,4D02WGJ0221TCE,UNI-ROYAL,0402x4,,"4 ±5% 220? 62.5mW ±200ppm/? 0402x4 Resistor Networks, Arrays RoHS",,50,50,50,0.0057,0.29,https://www.lcsc.com/product-detail/C25498.html
64,C485353,BM06B-GHS-TBT(LF)(SN)(N),JST,"SMD,P=1.25mm",,"Connector Header 6 position 1.25mm Pitch 1A Surface Mount,Vertical -25?~+85?",,1,1,1,0.1716,0.17,https://www.lcsc.com/product-detail/C485353.html
65,C1985382,ABM3-24.000MHZ-D2Y-T,ABRACON,SMD5032-2P,,Crystal 24MHz ±20ppm 18pF 30? SMD5032-2P,,1,1,1,0.6329,0.63,https://www.lcsc.com/product-detail/C1985382.html
66,C5118692,1932258-1,TE Connectivity,Through Hole,,USB-A (USB TYPE-A) Receptacle Connector 9 Position Through Hole,,1,1,1,2.2544,2.25,https://www.lcsc.com/product-detail/C5118692.html
67,C100024,SN74LV1T34DBVR,TI,SOT-23-5,,"1.6V~5.5V 1 1 10uA 5.5ns@5V,15pF SOT-23-5 Buffers, Drivers, Receivers, Transceivers RoHS",,5,5,5,0.2282,1.14,https://www.lcsc.com/product-detail/C100024.html
68,C430602,DB128L-5.08-3P-BK-S,DORABO,"Through Hole,P=5.08mm",,3 Position Wire to Board Terminal Block Through Hole 5.08mm,,5,5,5,0.3258,1.63,https://www.lcsc.com/product-detail/C430602.html
69,C194919,BMI088,Bosch,LGA-16(3x4.5),,LGA-16(3x4.5) IMUs (Inertial Measurement Units) RoHS,,1,1,1,13.9426,13.94,https://www.lcsc.com/product-detail/C194919.html
70,C404329,MMC5983MA,MEMSIC,LGA-16(3x3),,"LGA-16(3x3) Linear, Compass (ICs) RoHS",,1,1,1,2.2672,2.27,https://www.lcsc.com/product-detail/C404329.html
71,C2061981,M24C32-DRDW8TP/K,ST,TSSOP-8,,32Kbit 1.7V~5.5V 1MHz I2C TSSOP-8 Memory (ICs) RoHS,,1,1,1,0.612,0.61,https://www.lcsc.com/product-detail/C2061981.html
72,C7501811,HC-HDMI0019T-4,Hong Cheng,SMD,,"HDMI-A Receptacle Connector 19 Position Surface Mount, Right Angle",,5,5,5,0.1637,0.82,https://www.lcsc.com/product-detail/C7501811.html
73,C3235509,RT9742SNGV,RICHTEK,SOT-23-3,,"1 Active High 500mA High Side Switch SOT-23-3 Power Distribution Switches, Load Drivers RoHS",,1,1,1,0.4787,0.48,https://www.lcsc.com/product-detail/C3235509.html
74,C125972,BME680,Bosch,LGA-8,,30Kpa~1.1bar LGA-8 Specialized Sensors RoHS,,1,1,1,10.7085,10.71,https://www.lcsc.com/product-detail/C125972.html
75,C2916548,UPD720202K8-701-BAA-A,RENESAS,QFN-48(7x7),,QFN-48(7x7) Interface Controllers RoHS,,1,1,1,5.5182,5.52,https://www.lcsc.com/product-detail/C2916548.html
76,C401661,W25X40CLUXIG TR,Winbond,USON8-EP(2x3),,4Mbit 2.3V~3.6V 104MHz SPI USON8-EP(2x3) Memory (ICs) RoHS,,1,1,1,1.9168,1.92,https://www.lcsc.com/product-detail/C401661.html
77,C2678753,"PCA9685PW,118",NXP,TSSOP-28,,5.5V 100kHz~1MHz 16 25mA 2.3V~5.5V TSSOP-28 LED Drivers ICs RoHS,,1,1,1,3.3996,3.4,https://www.lcsc.com/product-detail/C2678753.html
78,C507879,AP3429KTTR-G1,DIODES,TSOT-25,,1MHz Step-down type Adjustable 2A 600mV~5.5V TSOT-25 Voltage Regulators - DC DC Switching Regulators RoHS,,5,5,5,0.1966,0.98,https://www.lcsc.com/product-detail/C507879.html
